date,username,fulltext
2022-03-08 14:37:29,nanadinx,"RT @myjjaksarang: Kamu bisa aja pake cara lain kayak pelukan, ciuman, dan saling bertukar saliva."" 

Kdj natap horor dokter di depannya. Da…"
2022-03-08 14:35:35,RahayuMike,"@vxnnxy0 @reddishrosa @happyberries04 Coba dikasih buah yg lembek kayak buah naga, semangka, konsumsi zat besi juga bayi setahun dan BAB nya lancar. Dulu awal2 sempet sembelit juga, keras hitam, sempet berhenti zat besi, dimarahin dokternya 😂. Sebulanan ini pake buah naga jadi lancar, tiap hari BAB dan g keras"
2022-03-08 14:29:57,venernaline,"besok aku ada janji sama dokter. takut haha. aku pingin jadi dokter, tapi aku agak trauma gitu ketemu dokter satu ini. dokternya enggak salah apa2 sih, tapi aku cuma takut, haha, gelisah."
2022-03-08 14:27:28,daniyah07,@Hobii943 @Mayol2812 @vkookssky Yoongi pernah bilang dia gak pake skincare mahal. Soalnya gak cocok kata dokternya kalau pake skincare yg kandungannya bagus. Lupa di vlive kapan
2022-03-08 14:20:13,hany_gustiana,Baik banget dokternya. MasyaAllah😍😍
2022-03-08 14:18:41,nctyyonghua_,@dxtaeyong Mau jadi dokternya pribadinya😗
2022-03-08 14:17:29,nisanisaya,"@neurosit Tak pe gais. Muka batu saja.
Saya kemaren ""dok, izin menunjukkan hasilnya dok"" sampai berkali kali tapi dokternya nggak denger dan malah liat kebawah gais 😌 entah mic saya yang salah atau bagaimana. Sampai yasudahlah saya fotokan saja."
2022-03-08 14:15:48,_chocomorphine,@collegemenfess bawa surat pengantar dari kampus dan buat janji sama dokternya
2022-03-08 14:15:07,neurosit,"@nisanisaya Masalahnya ges kalau ada yg bilang 'makasih dok' itu yang lain ikutan ngomong juga, tapi ini saya doang, terus dokternya ga leave lagi dan diem aja."
2022-03-08 14:13:51,everyone_wcoo,"@chwethekid Gtw dokternya tinggal cabut padahal dari pada tambel, ini gigi bukan ban di tambel"
2022-03-08 14:12:50,collegemenfess,aja buat janjian sama dokternya?
2022-03-08 14:12:15,eymariachim,"@allohomoraa pas dibersihin didokternyaa itu
kan dibersihin dulu:"") kalau aku buat ngunyah dah gabisa 😭 sakit bgtt emg harus dicabutt
coba aja kamu balik lagi ke dokternya 
atau tunggu dulu seminggu, kalau masih sakit balik"
2022-03-08 14:09:38,hanidazhf,Selama pandemi ini udh 3x flu dan selalu ke dokter. Dan ga dicovid2kan sm dokternya juga.. krn dokternya juga tau meureun yg mengarah ke covid atau engga
2022-03-08 14:05:34,suntubi_dr,diakhir zoom matur ke dokternya “sugeng dalu dok” bisa se-ngakak ini kalo sama ni org https://t.co/HlkIwJ2C92
2022-03-08 14:01:26,GeminianTrue,"Mereka, bawa sendiri ga ada yg anter. Suami kerja keluarganya ga peduli. Bawa anak sendirian naik grab. Sampe klinik susternya sampe bingung kok bisa ibu bru lahiran dibiarin dateng sendiri. Dsa bilang anakku normal, bb naik bagus. Gumoh biasa untuk bayi. Ga ada asi yg jelek-"
2022-03-08 14:00:03,thehwxngbby,"@spearbbit Gamau ke dokter plis plis, takut pingsan liat dokternya hahahahhaha😭😭"
